TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0103.92.00.00","01/01/98 00:00:00",0,,"Weighing 50 kg or more",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26870,"Free","35%"
"01.04","01/01/98 00:00:00",0,,"Live sheep and goats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,26871,,
"0104.10.00","04/01/21 00:00:00",0,,"Sheep",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26872,"Free","35%"
"0104.10.00.10","01/01/98 00:00:00",0,,"Pure-bred breeding animals",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26873,,
"0104.10.00.90","01/01/98 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26874,,
"0104.20.00","04/01/21 00:00:00",0,,"Goats",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26875,"Free","35%"
"0104.20.00.10","01/01/98 00:00:00",0,,"Pure-bred breeding animals",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26876,,
"0104.20.00.90","01/01/98 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26877,,
"01.05","01/01/98 00:00:00",0,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,26878,,
"0105.1","01/01/12 00:00:00",0,,"Weighing not more than 185 g:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26879,,
"0105.11","01/01/17 00:00:00",0,,"Fowls of the species Gallus domesticus",,,,,,,,,,,,,,,,,,,,,,,,,,,,26880,,
"0105.11.10","04/01/21 00:00:00",0,,"For breeding purposes",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26881,"Free","35%"
"0105.11.10.00","01/01/98 00:00:00",0,,"For breeding purposes",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26882,"Free","35%"
"0105.11.2","01/01/98 00:00:00",0,," Broilers for domestic production:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26883,,
"0105.11.21","04/01/21 00:00:00",0,," Within access commitment",,,,,"0.86 ¢each",,,"Free","Free",,"Free",,,"Free",,,,,"Free","Free","Free",,,,"Free","Free","Free",26884,"Free","35%"
"0105.11.21.00","01/01/98 00:00:00",0,," Within access commitment",,,,"NMB","0.86 ¢each",,,"Free","Free",,"Free",,,"Free",,,,,"Free","Free","Free",,,,"Free","Free","Free",26885,"Free","35%"
"0105.11.22.00","01/01/98 00:00:00",0,,"Over access commitment",,,,"NMB","238 % but not less than 30.8 ¢each",,,,,,,,,,,,,,,,,,,,,,,26887,,"238 % but not less than 30.8 ¢each"
"0105.11.90","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26888,"Free","35%"
"0105.11.90.00","01/01/98 00:00:00",0,,"Other",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26889,"Free","35%"
"0105.12","01/01/98 00:00:00",0,,"Turkeys",,,,,,,,,,,,,,,,,,,,,,,,,,,,26890,,
"0105.12.10","09/01/19 00:00:00",0,,"For breeding purposes",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26891,"Free","35%"
"0105.12.10.00","01/01/98 00:00:00",0,,"For breeding purposes",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26892,"Free","35%"
"0105.12.90","01/01/26 00:00:00",1,,"Other",,,,,"8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26893,"Free","35%"
"0105.12.90.00","01/01/98 00:00:00",0,,"Other",,,,"NMB","8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","2.5 %","Free",26894,"Free","35%"
"0105.13","01/01/12 00:00:00",0,,"Ducks",,,,,,,,,,,,,,,,,,,,,,,,,,,,26895,,
