TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"2712.20.00.00","01/01/12 00:00:00",0,,"Paraffin wax containing by weight less than 0.75% of oil",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32282,"Free","35%"
"2712.90.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32283,"Free","35%"
"2712.90.00.10","01/01/12 00:00:00",0,,"Micro-crystalline petroleum wax",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32284,,
"2712.90.00.90","01/01/12 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32285,,
"27.13","01/01/98 00:00:00",0,,"Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32286,,
"2713.1","01/01/98 00:00:00",0,,"Petroleum coke:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32287,,
"2713.11.00","04/01/21 00:00:00",0,,"Not calcined",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32288,"Free","35%"
"2713.11.00.00","01/01/98 00:00:00",0,,"Not calcined",,,,"TNE","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32289,"Free","35%"
"2713.12.00","04/01/21 00:00:00",0,,"Calcined",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32290,"Free","35%"
"2713.12.00.00","01/01/98 00:00:00",0,,"Calcined",,,,"TNE","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32291,"Free","35%"
"2713.20.00","04/01/21 00:00:00",0,,"Petroleum bitumen",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32292,"Free","35%"
"2713.20.00.10","01/01/12 00:00:00",0,,"Asphaltum oil, of a kind used for paving purposes",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32293,,
"2713.20.00.90","01/01/12 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32294,,
"2713.90.00","04/01/21 00:00:00",0,,"Other residues of petroleum oils or of oils obtained from bituminous minerals",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32295,"Free","35%"
"2713.90.00.00","01/01/12 00:00:00",0,,"Other residues of petroleum oils or of oils obtained from bituminous minerals",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32296,"Free","35%"
"27.14","01/01/98 00:00:00",0,,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32297,,
"2714.10.00","04/01/21 00:00:00",0,,"Bituminous or oil shale and tar sands",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32298,"Free","35%"
"2714.10.00.00","01/01/98 00:00:00",0,,"Bituminous or oil shale and tar sands",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32299,"Free","35%"
"2714.90.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32300,"Free","35%"
"2714.90.00.00","01/01/12 00:00:00",0,,"Other",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32301,"Free","35%"
"2715.00.00","04/01/21 00:00:00",0,,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs).",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32302,"Free","35%"
"2715.00.00.10","01/01/12 00:00:00",0,,"Bituminous mastics",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32303,,
"2715.00.00.20","01/01/12 00:00:00",0,,"Asphaltum oil, of a kind used for paving purposes",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32304,,
"2715.00.00.90","01/01/12 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32305,,
"2716.00.00","04/01/21 00:00:00",0,,"Electrical energy.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32306,"Free","35%"
"2716.00.00.00","01/01/98 00:00:00",0,,"Electrical energy.",,,,"MWH","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32307,"Free","35%"
"28.01","01/01/98 00:00:00",0,"I. -CHEMICAL ELEMENTS","Fluorine, chlorine, bromine and iodine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32308,,
"2801.10.00","04/01/21 00:00:00",0,,"Chlorine",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32309,"Free","35%"
"2801.10.00.00","01/01/12 00:00:00",0,,"Chlorine",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32310,"Free","35%"
"2801.20.00","04/01/21 00:00:00",0,,"Iodine",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32311,"Free","35%"
"2801.20.00.00","01/01/98 00:00:00",0,,"Iodine",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32312,"Free","35%"
"2801.30.00","04/01/21 00:00:00",0,,"Fluorine; bromine",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32313,"Free","35%"
"2801.30.00.00","01/01/12 00:00:00",0,,"Fluorine; bromine",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32314,"Free","35%"
"2802.00.00","04/01/21 00:00:00",0,,"Sulphur, sublimed or precipitated; colloidal sulphur.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32315,"Free","35%"
"2802.00.00.00","01/01/98 00:00:00",0,,"Sulphur, sublimed or precipitated; colloidal sulphur.",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32316,"Free","35%"
"2803.00.00","04/01/21 00:00:00",0,,"Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32317,"Free","35%"
"2803.00.00.10","01/01/98 00:00:00",0,,"Lampblack",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32318,,
"2803.00.00.90","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32319,,
"28.04","01/01/98 00:00:00",0,,"Hydrogen, rare gases and other non-metals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32320,,
"2804.10.00","04/01/21 00:00:00",0,,"Hydrogen",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32321,"Free","35%"
"2804.10.00.00","01/01/25 00:00:00",0,,"Hydrogen",,,,"MTQ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32322,"Free","35%"
"2804.2","01/01/98 00:00:00",0,,"Rare gases:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32323,,
"2804.21.00","04/01/21 00:00:00",0,,"Argon",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32324,"Free","35%"
"2804.21.00.00","01/01/25 00:00:00",0,,"Argon",,,,"MTQ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32325,"Free","35%"
"2804.29.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32326,"Free","35%"
"2804.29.00.10","01/01/25 00:00:00",0,,"Helium",,,,"MTQ",,,,,,,,,,,,,,,,,,,,,,,,32327,,
"2804.29.00.90","01/01/25 00:00:00",0,,"Other",,,,"MTQ",,,,,,,,,,,,,,,,,,,,,,,,32328,,
"2804.30.00","04/01/21 00:00:00",0,,"Nitrogen",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32329,"Free","35%"
"2804.30.00.00","01/01/25 00:00:00",0,,"Nitrogen",,,,"MTQ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32330,"Free","35%"
"2804.40.00","04/01/21 00:00:00",0,,"Oxygen",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32331,"Free","35%"
"2804.40.00.00","01/01/25 00:00:00",0,,"Oxygen",,,,"MTQ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32332,"Free","35%"
"2804.50.00","04/01/21 00:00:00",0,,"Boron; tellurium",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32333,"Free","35%"
"2804.50.00.00","01/01/12 00:00:00",0,,"Boron; tellurium",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32334,"Free","35%"
"2804.6","01/01/98 00:00:00",0,,"Silicon:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32335,,
"2804.61.00","04/01/21 00:00:00",0,,"Containing by weight not less than 99.99% of silicon",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32336,"Free","35%"
"2804.61.00.00","01/01/98 00:00:00",0,,"Containing by weight not less than 99.99% of silicon",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32337,"Free","35%"
"2804.69.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32338,"Free","35%"
"2804.69.00.00","01/01/98 00:00:00",0,,"Other",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32339,"Free","35%"
"2804.70.00","04/01/21 00:00:00",0,,"Phosphorus",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32340,"Free","35%"
"2804.70.00.00","01/01/98 00:00:00",0,,"Phosphorus",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32341,"Free","35%"
"2804.80.00","04/01/21 00:00:00",0,,"Arsenic",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32342,"Free","35%"
"2804.80.00.00","01/01/98 00:00:00",0,,"Arsenic",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32343,"Free","35%"
"2804.90.00","04/01/21 00:00:00",0,,"Selenium",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32344,"Free","35%"
"2804.90.00.00","01/01/98 00:00:00",0,,"Selenium",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32345,"Free","35%"
"28.05","01/01/98 00:00:00",0,,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32346,,
"2805.1","01/01/02 00:00:00",0,,"Alkali or alkaline-earth metals:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32347,,
"2805.11.00","04/01/21 00:00:00",0,,"Sodium",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32348,"Free","35%"
"2805.11.00.00","01/01/98 00:00:00",0,,"Sodium",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32349,"Free","35%"
"2805.12.00","04/01/21 00:00:00",0,,"Calcium",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32350,"Free","35%"
"2805.12.00.00","01/01/02 00:00:00",0,,"Calcium",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32351,"Free","35%"
"2805.19.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32352,"Free","35%"
"2805.19.00.00","01/01/12 00:00:00",0,,"Other",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32353,"Free","35%"
"2805.30.00","04/01/21 00:00:00",0,,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32354,"Free","35%"
"2805.30.00.00","01/01/98 00:00:00",0,,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32355,"Free","35%"
"2805.40.00","04/01/21 00:00:00",0,,"Mercury",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32356,"Free","35%"
"2805.40.00.00","01/01/98 00:00:00",0,,"Mercury",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32357,"Free","35%"
"28.06","01/01/98 00:00:00",0,"II. -INORGANIC ACIDS AND INORGANIC OXYGEN COMPOUNDS OF NON-METALS","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32358,,
"2806.10.00","04/01/21 00:00:00",0,,"Hydrogen chloride (hydrochloric acid)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32359,"Free","35%"
"2806.20.00","04/01/21 00:00:00",0,,"Chlorosulphuric acid",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32361,"Free","35%"
"2806.20.00.00","01/01/98 00:00:00",0,,"Chlorosulphuric acid",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32362,"Free","35%"
"2807.00.00","04/01/21 00:00:00",0,,"Sulphuric acid; oleum.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32363,"Free","35%"
"2807.00.00.00","01/01/12 00:00:00",0,,"Sulphuric acid; oleum.",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32364,"Free","35%"
"2808.00.00","04/01/21 00:00:00",0,,"Nitric acid; sulphonitric acids.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32365,"Free","35%"
"2808.00.00.00","01/01/12 00:00:00",0,,"Nitric acid; sulphonitric acids.",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32366,"Free","35%"
"28.09","01/01/02 00:00:00",0,,"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32367,,
"2809.10.00","04/01/21 00:00:00",0,,"Diphosphorus pentaoxide",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32368,"Free","35%"
"2809.10.00.00","01/01/98 00:00:00",0,,"Diphosphorus pentaoxide",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32369,"Free","35%"
"2809.20.00","04/01/21 00:00:00",0,,"Phosphoric acid and polyphosphoric acids",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32370,"Free","35%"
"2809.20.00.1","01/01/98 00:00:00",0,,"Phosphoric acids, fertilizer grade:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32371,,
"2809.20.00.11","01/01/12 00:00:00",0,,"Superacid grade (68-72% P2O5)
",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32372,,
"2809.20.00.19","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32373,,
"2809.20.00.20","01/01/98 00:00:00",0,,"Other phosphoric acids",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32374,,
"2809.20.00.30","01/01/98 00:00:00",0,,"Polyphosphoric acids",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32375,,
"2810.00.00","04/01/21 00:00:00",0,,"Oxides of boron; boric acids.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32376,"Free","35%"
"2810.00.00.00","01/01/12 00:00:00",0,,"Oxides of boron; boric acids.",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32377,"Free","35%"
"28.11","01/01/98 00:00:00",0,,"Other inorganic acids and other inorganic oxygen compounds of non-metals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32378,,
"2811.1","01/01/98 00:00:00",0,,"Other inorganic acids:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32379,,
"2811.11.00","04/01/21 00:00:00",0,,"Hydrogen fluoride (hydrofluoric acid)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32380,"Free","35%"
"2811.11.00.00","01/01/98 00:00:00",0,,"Hydrogen fluoride (hydrofluoric acid)",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32381,"Free","35%"
"2811.12.00","04/01/21 00:00:00",0,,"Hydrogen cyanide (hydrocyanic acid)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32382,"Free","35%"
"2811.12.00.00","01/01/17 00:00:00",0,,"Hydrogen cyanide (hydrocyanic acid)",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32383,"Free","35%"
"2811.19.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32384,"Free","35%"
"2811.19.00.00","01/01/12 00:00:00",0,,"Other",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32385,"Free","35%"
"2811.2","01/01/98 00:00:00",0,,"Other inorganic oxygen compounds of non-metals:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32386,,
"2811.21.00","04/01/21 00:00:00",0,,"Carbon dioxide",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32387,"Free","35%"
"2811.21.00.00","01/01/12 00:00:00",0,,"Carbon dioxide",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32388,"Free","35%"
"2811.22.00","04/01/21 00:00:00",0,,"Silicon dioxide",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32389,"Free","35%"
"2811.22.00.10","01/01/98 00:00:00",0,,"Hydrated silica",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32390,,
"2811.22.00.20","01/01/98 00:00:00",0,,"Silica gel",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32391,,
"2811.22.00.90","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,32392,,
"2811.29.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32393,"Free","35%"
"2811.29.00.00","01/01/12 00:00:00",0,,"Other",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32394,"Free","35%"
"28.12","01/01/98 00:00:00",0,"III. -HALOGEN OR SULPHUR COMPOUNDS OF NON-METALS","Halides and halide oxides of non-metals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,32395,,
"2812.1","01/01/17 00:00:00",0,,"Chlorides and chloride oxides:",,,,,,,,,,,,,,,,,,,,,,,,,,,,32396,,
"2812.11.00","04/01/21 00:00:00",0,,"Carbonyl dichloride (phosgene)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32397,"Free","35%"
"2812.11.00.00","01/01/17 00:00:00",0,,"Carbonyl dichloride (phosgene)",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32398,"Free","35%"
"2812.12.00","04/01/21 00:00:00",0,,"Phosphorus oxychloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32399,"Free","35%"
"2812.12.00.00","01/01/17 00:00:00",0,,"Phosphorus oxychloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32400,"Free","35%"
"2812.13.00","04/01/21 00:00:00",0,,"Phosphorus trichloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32401,"Free","35%"
"2812.13.00.00","01/01/17 00:00:00",0,,"Phosphorus trichloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32402,"Free","35%"
"2812.14.00","04/01/21 00:00:00",0,,"Phosphorus pentachloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32403,"Free","35%"
"2812.14.00.00","01/01/17 00:00:00",0,,"Phosphorus pentachloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32404,"Free","35%"
"2812.15.00","04/01/21 00:00:00",0,,"Sulphur monochloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32405,"Free","35%"
"2812.15.00.00","01/01/17 00:00:00",0,,"Sulphur monochloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32406,"Free","35%"
"2812.16.00","04/01/21 00:00:00",0,,"Sulphur dichloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32407,"Free","35%"
"2812.16.00.00","01/01/17 00:00:00",0,,"Sulphur dichloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32408,"Free","35%"
"2812.17.00","04/01/21 00:00:00",0,,"Thionyl chloride",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32409,"Free","35%"
"2812.17.00.00","01/01/17 00:00:00",0,,"Thionyl chloride",,,,"KGM","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",32410,"Free","35%"
